# k(t) scatter data
year,k_approach0,k_approach5c
1961,-0.14412502,-0.14384734
131,SRB,0.00233910,0.00115016,-0.00078861,-0.00079466,0.00010037,0.00010392
132,SVK,0.03475005,0.03533537,-0.00011724,-0.00015801,0.00001457,0.00001468
133,SVN,0.01635917,0.01541921,-0.00134544,-0.00135004,0.00007477,0.00007756
134,SWE,0.08287689,0.08157817,-0.00117878,-0.00117801,0.00003241,0.00003590
135,SWZ,0.02765005,0.02801979,-0.00138909,-0.00138929,0.00005431,0.00005329
136,SYC,0.08094487,0.08183414,-0.00004188,-0.00004186,-0.00000801,-0.00001059
137,SYR,-0.01992700,-0.01921345,-0.00246272,-0.00246507,0.00001533,0.00001293
138,TCD,0.05893656,0.05811110,0.00042619,0.00042797,-0.00002640,-0.00002367
139,TGO,0.02311640,0.02390866,-0.00031965,-0.00031936,0.00009534,0.00009304
140,THA,0.07591104,0.07631271,-0.00090129,-0.00090131,0.00000248,0.00000137
141,TJK,0.02760036,0.02807827,0.00046104,0.00041226,0.00014209,0.00014294
142,TKM,-0.00263938,-0.00195953,0.00482426,0.00484763,-0.00014536,-0.00014819
143,TTO,0.05028319,0.04954757,-0.00067024,-0.00066852,0.00000612,0.00000860
144,TUN,0.02114302,0.02163675,-0.00086842,-0.00086891,0.00001287,0.00001145
145,TZA,0.02204644,0.02223238,0.00029433,0.00029508,0.00003768,0.00003733
146,UGA,0.01448365,0.01380863,0.00026077,0.00026270,0.00002983,0.00003209
147,UKR,0.01896835,0.01932443,-0.00153682,-0.00156781,0.00003109,0.00003135
148,URY,0.00573788,0.00613589,-0.00016490,-0.00016479,0.00001417,0.00001306
149,USA,0.00303659,0.00339011,-0.00077244,-0.00077323,0.00003080,0.00002988
150,UZB,-0.02504169,-0.02443431,0.00010667,0.00011706,0.00011205,0.00010987
151,VEN,0.03053430,0.03091616,-0.00207270,-0.00207256,-0.00004284,-0.00004384
152,VNM,0.05217220,0.05268107,0.00073022,0.00073008,0.00000568,0.00000430
153,YEM,0.04354074,0.04378315,-0.00212735,-0.00212693,-0.00002173,-0.00002224
154,ZAF,-0.00045107,-0.00006482,-0.00049031,-0.00049078,0.00002918,0.00002811
155,ZMB,0.01203257,0.01164858,0.00033289,0.00033466,0.00002126,0.00002259
156,ZWE,-0.00956903,-0.00936167,-0.00084441,-0.00084356,0.00005387,0.00005334
